# Real Madrid 1-2 Bayern Munich | Full Match | UCL QF 1st Leg 2026-04-07
# Generated from Sportradar Extended API (1141 events)
# Format: mm:ss|priority|message
# Total speak events: 1046
#
22:01|APPEND|to Kane.
22:07|APPEND|to Laimer.
22:09|APPEND|to Gnabry.
22:13|APPEND|to Diaz.
22:15|APPEND|to Laimer.
22:21|APPEND|Stanisic to Kimmich.
22:23|APPEND|to Stanisic.
22:24|APPEND|to Olise.
22:30|APPEND|to Stanisic.
22:33|APPEND|to Upamecano.
22:36|APPEND|to Tah.
22:39|APPEND|to Pavlovic.
22:41|APPEND|to Kimmich.
22:46|APPEND|to Olise.
22:50|APPEND|to Kimmich.
22:53|APPEND|to Upamecano.
22:55|APPEND|to Gnabry.
22:56|APPEND|to Upamecano.
22:57|APPEND|to Pavlovic.
23:00|APPEND|Mbappe reads it well and intercepts.
23:02|APPEND|Pavlovic to Tah.
23:04|APPEND|to Gnabry.
23:05|APPEND|to Upamecano.
23:06|APPEND|to Olise.
23:15|APPEND|Great tackle by Guler!
23:39|APPEND|Michael Olise readies the delivery at the quadrant as Bayern Munich attempt to convert their set-piece dominance into an advantage.
23:44|APPEND|Lunin to Guler.
23:50|APPEND|to Tchouameni.
23:56|APPEND|to Huijsen.
23:58|APPEND|to Valverde.
24:00|APPEND|to Huijsen.
24:02|APPEND|to Mbappe.
24:03|APPEND|to Vinicius Junior.
24:05|APPEND|to Mbappe.
24:08|APPEND|Mbappe loses possession with a stray pass.
24:14|APPEND|Goal kick for Bayern Munich.
24:23|APPEND|Neuer to Tah.
24:25|APPEND|to Kimmich.
24:27|APPEND|to Neuer.
24:28|APPEND|to Upamecano.
24:35|APPEND|to Olise.
24:38|APPEND|to Gnabry.
24:42|APPEND|Great tackle by Huijsen!
24:43|APPEND|to Pitarch Pinar.
24:48|APPEND|to Valverde.
24:49|APPEND|to Mbappe.
24:51|APPEND|to Valverde.
24:54|APPEND|to Vinicius Junior.
25:02|APPEND|Neuer loses possession with a stray pass.
25:06|APPEND|Alexander-Arnold reads it well and intercepts.
25:08|INTERRUPT|Trent Alexander-Arnold hammers a low effort from 15 meters in the half-space, but the ball deflected wide after clipping a defender.
25:27|APPEND|Neuer to Kane.
25:28|APPEND|Carreras to Valverde.
25:30|APPEND|Valverde loses possession with a stray pass.
25:31|APPEND|Kane loses possession with a stray pass.
25:40|APPEND|Pavlovic to Kane.
25:41|APPEND|to Upamecano.
25:44|APPEND|to Stanisic.
25:50|APPEND|to Pavlovic.
25:51|APPEND|to Pavlovic.
25:53|APPEND|to Kimmich.
25:57|APPEND|to Olise.
26:05|APPEND|to Kimmich.
26:12|APPEND|Tchouameni loses possession with a stray pass.
26:29|APPEND|Goal kick for Real Madrid.
26:31|APPEND|Lunin to Rudiger.
26:35|APPEND|to Alexander-Arnold.
26:37|APPEND|Alexander-Arnold loses possession with a stray pass.
26:38|APPEND|Kimmich to Olise.
26:50|APPEND|to Gnabry.
26:51|APPEND|Lunin to Rudiger.
26:52|APPEND|to Tchouameni.
26:55|APPEND|to Lunin.
26:57|APPEND|to Pitarch Pinar.
27:12|APPEND|Pitarch Pinar loses possession with a stray pass.
27:22|INTERRUPT|Gnabry carves out space 15 meters from target. He struck a right-footed attempt, but this effort flew wide.
27:54|APPEND|Joshua Kimmich stands over the corner flag to deliver a set-piece that could finally break the deadlock in this quarterfinal encounter.
28:02|APPEND|Lunin to Carreras.
28:03|APPEND|Goal kick for Real Madrid.
28:05|APPEND|Carreras to Guler.
28:08|APPEND|to Vinicius Junior.
28:09|APPEND|to Valverde.
28:13|APPEND|to Mbappe.
28:19|INTERRUPT|Federico Valverde picks out Kylian Mbappe in a central pocket. Mbappe strikes with his right foot from 15 meters, but his effort is saved.
28:21|APPEND|Pitarch Pinar to Guler.
28:24|APPEND|to Vinicius Junior.
28:26|APPEND|to Alexander-Arnold.
28:28|APPEND|to Mbappe.
29:17|APPEND|Trent Alexander-Arnold prepares to swing this corner into the box as Real Madrid search for the opening goal.
29:26|INTERRUPT|Rudiger latches on to the delivery inside the penalty area, but his right-footed strike clears the woodwork and veers wide of the frame from nearly 15 meters out.
29:28|APPEND|Goal kick for Bayern Munich.
29:47|APPEND|Tah to Neuer.
29:52|APPEND|to Pavlovic.
29:56|APPEND|to Tah.
29:57|APPEND|to Neuer.
30:00|APPEND|to Gnabry.
30:01|APPEND|to Kimmich.
30:03|APPEND|to Gnabry.
30:09|APPEND|to Kane.
30:16|APPEND|to Upamecano.
30:18|APPEND|to Pavlovic.
30:20|APPEND|to Kane.
30:30|APPEND|Kane loses possession with a stray pass.
30:36|APPEND|Alexander-Arnold to Rudiger.
30:38|APPEND|Rudiger loses possession with a stray pass.
30:44|APPEND|Tah to Pavlovic.
30:47|APPEND|to Kimmich.
30:50|APPEND|to Pavlovic.
30:52|APPEND|to Diaz.
30:53|APPEND|to Pavlovic.
30:55|APPEND|to Kimmich.
30:56|APPEND|to Olise.
30:58|APPEND|to Stanisic.
31:01|APPEND|to Pavlovic.
31:04|APPEND|to Diaz.
31:08|APPEND|to Olise.
31:09|APPEND|to Kimmich.
31:24|APPEND|Olise to Kimmich.
31:28|APPEND|to Pavlovic.
31:32|APPEND|to Diaz.
31:33|APPEND|to Kane.
31:35|APPEND|to Pavlovic.
31:37|APPEND|to Tah.
31:40|APPEND|to Upamecano.
31:41|APPEND|to Gnabry.
31:43|APPEND|to Upamecano.
31:45|APPEND|to Kimmich.
31:48|APPEND|to Olise.
31:55|APPEND|to Diaz.
31:59|APPEND|to Kane.
32:01|APPEND|to Olise.
32:03|APPEND|to Kimmich.
32:05|APPEND|to Laimer.
32:08|APPEND|to Kimmich.
32:11|APPEND|Kimmich loses possession with a stray pass.
32:19|APPEND|Carreras to Vinicius Junior.
32:27|APPEND|to Mbappe.
32:31|APPEND|to Alexander-Arnold.
32:35|APPEND|to Mbappe.
32:37|APPEND|to Guler.
32:39|APPEND|to Tchouameni.
32:40|APPEND|to Carreras.
32:42|APPEND|to Huijsen.
32:43|APPEND|to Tchouameni.
32:45|APPEND|to Pitarch Pinar.
32:47|APPEND|to Rudiger.
32:51|APPEND|to Huijsen.
32:54|APPEND|to Guler.
32:56|APPEND|to Mbappe.
33:01|APPEND|Vinicius Junior to Guler.
33:12|APPEND|Huijsen to Lunin.
33:15|APPEND|to Rudiger.
33:20|APPEND|to Lunin.
33:26|APPEND|to Alexander-Arnold.
33:31|APPEND|to Pitarch Pinar.
33:33|APPEND|to Tchouameni.
33:38|APPEND|to Huijsen.
33:42|APPEND|to Vinicius Junior.
33:46|APPEND|Vinicius Junior loses possession with a stray pass.
33:54|APPEND|Laimer to Diaz.
34:03|APPEND|Pitarch Pinar to Valverde.
34:06|APPEND|to Guler.
34:09|APPEND|to Vinicius Junior.
34:16|INTERRUPT|Arda Guler finds Vinicius Junior drifting into the half-space. Vinicius Junior unleashes a right-footed strike from 25 meters, but the low effort is saved.
34:17|APPEND|Neuer to Kane.
34:25|APPEND|Kane loses possession with a stray pass.
34:30|APPEND|Lunin to Rudiger.
34:37|APPEND|to Huijsen.
34:41|APPEND|to Tchouameni.
34:44|APPEND|to Guler.
34:46|APPEND|to Huijsen.
34:50|APPEND|to Tchouameni.
34:52|APPEND|to Rudiger.
34:57|APPEND|to Huijsen.
35:05|APPEND|to Carreras.
35:08|APPEND|Carreras loses possession with a stray pass.
35:13|APPEND|Throw-in for Bayern Munich.
35:18|APPEND|Throw-in for Real Madrid.
35:30|APPEND|Rudiger to Alexander-Arnold.
35:33|APPEND|to Lunin.
35:39|APPEND|Lunin loses possession with a stray pass.
35:41|APPEND|Olise to Stanisic.
35:46|APPEND|to Kimmich.
35:48|APPEND|to Olise.
35:59|INTERRUPT|Aurelien Tchouameni enters the referee's notebook, picking up his third yellow card of the season with the match still level at zero-zero.
36:34|APPEND|Foul by Real Madrid.
36:35|APPEND|Bayern Munich earn a set-piece in a menacing pocket of the half-space. The ball is spotted 25 meters out as the visitors look to capitalize on this dead-ball opportunity.
36:59|APPEND|Diaz to Pavlovic.
37:03|APPEND|to Diaz.
37:08|APPEND|to Gnabry.
37:10|APPEND|to Kimmich.
37:16|APPEND|to Stanisic.
37:18|APPEND|to Olise.
37:24|APPEND|to Tah.
37:27|APPEND|to Neuer.
37:28|APPEND|to Upamecano.
37:32|APPEND|to Laimer.
37:33|APPEND|to Pavlovic.
37:35|APPEND|to Kimmich.
37:37|APPEND|to Stanisic.
37:39|APPEND|to Tah.
37:42|APPEND|to Olise.
37:47|APPEND|to Kane.
37:52|APPEND|to Pavlovic.
37:56|APPEND|to Diaz.
37:58|APPEND|to Pavlovic.
38:00|APPEND|to Kimmich.
38:02|APPEND|to Pavlovic.
38:05|APPEND|to Kimmich.
38:07|APPEND|to Olise.
38:10|APPEND|to Stanisic.
38:19|APPEND|Mbappe to Carreras.
38:27|APPEND|Throw-in for Bayern Munich.
38:32|APPEND|Kimmich to Olise.
38:33|APPEND|to Kimmich.
38:34|APPEND|to Olise.
38:36|APPEND|to Tah.
38:38|APPEND|to Pavlovic.
38:40|APPEND|to Gnabry.
38:43|APPEND|to Pavlovic.
38:46|APPEND|to Upamecano.
38:50|APPEND|to Stanisic.
38:54|APPEND|to Gnabry.
38:56|APPEND|to Upamecano.
38:57|APPEND|to Pavlovic.
39:01|APPEND|to Tah.
39:03|APPEND|to Laimer.
39:04|APPEND|to Diaz.
39:08|APPEND|Diaz loses possession with a stray pass.
39:15|APPEND|Neuer to Pavlovic.
39:19|APPEND|Pavlovic loses possession with a stray pass.
39:24|APPEND|Throw-in for Bayern Munich.
39:41|APPEND|Alexander-Arnold to Valverde.
39:43|APPEND|to Alexander-Arnold.
39:47|APPEND|Upamecano reads it well and intercepts.
39:55|APPEND|Guler to Tchouameni.
39:56|APPEND|Foul by Bayern Munich.
39:59|APPEND|Tchouameni to Carreras.
40:00|APPEND|to Vinicius Junior.
40:02|APPEND|Vinicius Junior loses possession with a stray pass.
40:06|APPEND|Olise to Gnabry.
40:07|APPEND|to Kane.
40:08|APPEND|to Gnabry.
40:10|APPEND|to Diaz.
40:14|INTERRUPT|GOAL! Luis Diaz lashes a right-footed shot home from 10 meters to give Bayern the lead! Gnabry provides the assist for Diaz's fifth goal of the season, making it 1-0 to the visitors.
41:39|APPEND|Mbappe to Tchouameni.
41:42|APPEND|to Carreras.
41:45|APPEND|to Huijsen.
41:46|APPEND|to Rudiger.
41:48|APPEND|to Alexander-Arnold.
41:50|APPEND|to Rudiger.
41:52|APPEND|to Valverde.
41:53|APPEND|Kimmich to Pavlovic.
41:54|APPEND|to Kimmich.
41:55|APPEND|Valverde to Guler.
42:00|APPEND|Diaz to Pavlovic.
42:03|APPEND|to Upamecano.
42:07|APPEND|to Kimmich.
42:09|APPEND|to Olise.
42:15|APPEND|to Kimmich.
42:17|APPEND|Kimmich loses possession with a stray pass.
42:21|APPEND|Carreras loses possession with a stray pass.
42:25|APPEND|Throw-in for Real Madrid.
42:36|APPEND|Tchouameni to Huijsen.
42:37|APPEND|Great tackle by Olise!
42:39|APPEND|Huijsen to Tchouameni.
42:43|APPEND|Tchouameni loses possession with a stray pass.
42:44|APPEND|Throw-in for Real Madrid.
42:47|APPEND|Carreras to Huijsen.
42:51|APPEND|to Tchouameni.
42:54|APPEND|to Valverde.
42:57|APPEND|to Tchouameni.
42:59|APPEND|to Huijsen.
43:02|APPEND|to Carreras.
43:08|APPEND|to Vinicius Junior.
43:35|APPEND|Foul by Bayern Munich.
43:36|APPEND|Real Madrid earn a set-piece opportunity out on the flank. This delivery stands approximately 25 meters from the target.
44:11|INTERRUPT|Alexander-Arnold unleashes a right-footed rocket from the wing. The 25-meter blast catches a defender and deflects away from the goal frame.
44:14|APPEND|Mbappe to Pitarch Pinar.
44:29|APPEND|to Alexander-Arnold.
44:34|APPEND|Alexander-Arnold loses possession with a stray pass.
44:41|APPEND|Diaz to Laimer.
44:43|APPEND|to Neuer.
44:48|APPEND|to Kimmich.
44:49|APPEND|to Neuer.
44:50|APPEND|to Upamecano.
44:52|APPEND|to Stanisic.
44:55|APPEND|Stanisic loses possession with a stray pass.
44:56|APPEND|Carreras to Guler.
45:00|INTERRUPT|1 minutes of added time.
45:01|APPEND|Rudiger to Lunin.
45:02|APPEND|to Huijsen.
45:03|APPEND|to Carreras.
45:04|APPEND|to Vinicius Junior.
45:05|APPEND|to Guler.
45:06|APPEND|to Vinicius Junior.
45:07|APPEND|Foul by Real Madrid.
45:08|APPEND|Guler to Valverde.
45:09|INTERRUPT|The referee blows for half-time.
45:15|INTERRUPT|The second half kicks off!
45:23|APPEND|Mbappe to Tchouameni.
45:27|APPEND|Great tackle by Pavlovic!
45:29|APPEND|Tchouameni to Guler.
45:30|APPEND|Pavlovic to Olise.
45:32|APPEND|to Kane.
45:42|INTERRUPT|KANE! Bayern double their advantage as the forward drills a right-footed shot into the bottom corner from 20 meters! Michael Olise provides the assist for the striker to register his 11th goal this campaign.
46:53|APPEND|Kane to Stanisic.
46:56|APPEND|to Olise.
47:17|INTERRUPT|Michael Olise squanders a massive opportunity to further punish Madrid, dragging his shot wide of the target from just 10 meters out in a central position.
47:28|APPEND|Michael Olise readies the cross from the quadrant, threatening to swing the ball in and further distance Bayern Munich from their shell-shocked opponents.
47:34|INTERRUPT|Josip Stanisic drives a right-footed effort from 15 meters, but his strike from the half-space took a deflection and skipped wide of the lower left corner.
47:45|APPEND|Lunin to Guler.
47:46|APPEND|to Mbappe.
47:50|APPEND|to Rudiger.
47:54|APPEND|to Alexander-Arnold.
47:58|APPEND|to Pitarch Pinar.
48:02|APPEND|to Rudiger.
48:03|APPEND|to Huijsen.
48:08|APPEND|to Vinicius Junior.
48:11|APPEND|Vinicius Junior loses possession with a stray pass.
48:13|APPEND|Upamecano to Upamecano.
48:14|APPEND|Upamecano reads it well and intercepts.
48:17|APPEND|Great tackle by Guler!
48:18|APPEND|to Mbappe.
48:21|APPEND|to Alexander-Arnold.
48:24|APPEND|to Valverde.
48:27|APPEND|to Alexander-Arnold.
48:31|APPEND|to Rudiger.
48:34|APPEND|to Tchouameni.
48:36|APPEND|to Huijsen.
48:38|APPEND|to Guler.
48:41|APPEND|to Huijsen.
48:43|APPEND|to Vinicius Junior.
48:45|APPEND|to Huijsen.
48:48|APPEND|to Tchouameni.
48:50|APPEND|to Rudiger.
48:52|APPEND|to Alexander-Arnold.
48:55|APPEND|to Valverde.
49:11|APPEND|Huijsen to Tchouameni.
49:16|APPEND|to Pitarch Pinar.
49:20|APPEND|to Mbappe.
49:24|APPEND|to Tchouameni.
49:26|APPEND|Tackle by Pavlovic.
49:27|APPEND|Tchouameni to Mbappe.
49:28|APPEND|to Tchouameni.
49:30|APPEND|to Carreras.
49:32|APPEND|to Vinicius Junior.
49:42|APPEND|Tchouameni to Guler.
49:44|APPEND|Throw-in for Real Madrid.
49:45|APPEND|Guler to Valverde.
49:48|APPEND|to Carreras.
49:50|APPEND|to Vinicius Junior.
49:52|APPEND|to Valverde.
49:54|APPEND|to Pitarch Pinar.
49:56|APPEND|to Rudiger.
50:12|APPEND|Tchouameni to Rudiger.
50:15|APPEND|to Tchouameni.
50:19|APPEND|to Carreras.
50:22|APPEND|to Vinicius Junior.
50:24|APPEND|to Guler.
50:26|APPEND|to Vinicius Junior.
50:39|APPEND|Great tackle by Carreras!
50:40|APPEND|to Guler.
50:43|APPEND|to Tchouameni.
50:49|INTERRUPT|Tchouameni connects with Arda Guler’s pass in the half-space and unleashes a right-footed strike from 30 meters that deflects away from the goal.
51:07|APPEND|Arda Guler positions himself at the arc, aiming for his fifth assist of the campaign to spark a necessary recovery for Madrid.
51:12|APPEND|Valverde to Guler.
51:16|APPEND|to Vinicius Junior.
51:20|APPEND|Upamecano to Upamecano.
51:21|APPEND|Great tackle by Upamecano!
51:22|APPEND|Stanisic to Olise.
51:24|APPEND|Olise loses possession with a stray pass.
51:33|APPEND|Guler to Mbappe.
51:37|APPEND|Throw-in for Bayern Munich.
51:42|APPEND|Pavlovic to Tah.
51:43|APPEND|to Pavlovic.
51:48|APPEND|to Laimer.
51:52|APPEND|Great tackle by Mbappe!
51:53|APPEND|to Alexander-Arnold.
51:55|APPEND|to Rudiger.
51:58|APPEND|to Huijsen.
52:03|APPEND|to Rudiger.
52:06|APPEND|to Huijsen.
52:11|APPEND|to Tchouameni.
52:18|APPEND|to Alexander-Arnold.
52:23|APPEND|to Mbappe.
52:28|APPEND|Neuer to Kimmich.
52:31|APPEND|to Olise.
52:33|APPEND|to Tah.
52:35|APPEND|to Laimer.
52:36|APPEND|to Tah.
52:38|APPEND|to Kimmich.
52:40|APPEND|Pitarch Pinar reads it well and intercepts.
52:41|APPEND|Kimmich loses possession with a stray pass.
52:42|APPEND|Pitarch Pinar to Valverde.
52:43|APPEND|to Vinicius Junior.
52:48|INTERRUPT|Vinicius Junior receives a ball from Federico Valverde and drills a left-footed attempt from 25 meters out, but the effort rises too high and clears the crossbar.
52:52|APPEND|Goal kick for Bayern Munich.
53:11|APPEND|Foul by Real Madrid.
53:37|APPEND|Kimmich loses possession with a stray pass.
53:42|APPEND|Lunin to Rudiger.
53:46|APPEND|to Alexander-Arnold.
53:50|APPEND|to Mbappe.
54:10|APPEND|Foul by Real Madrid.
54:26|APPEND|Stanisic to Olise.
54:36|APPEND|Tackle by Alexander-Arnold.
54:37|APPEND|Kimmich to Laimer.
54:41|APPEND|to Olise.
54:42|APPEND|to Laimer.
